contract,local_path,source_repository,source_link
OfferFactory,contracts/draggable/OfferFactory.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
IOffer,contracts/draggable/IOffer.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
AMLToken,contracts/tokenmarketnet/contracts/AMLToken.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
IntentHash,contracts/market/IntentHash.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
AllocatedCrowdsaleMixin,contracts/tokenmarketnet/contracts/AllocatedCrowdsaleMixin.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
GovernorBravoDelegator,contracts/compound/contracts/Governance/GovernorBravoDelegator.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
ExposedNodeRulesList,contracts/permissioning/contracts/ExposedNodeRulesList.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
IRecoveryHub,contracts/recovery/IRecoveryHub.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
BytesLib,contracts/utils/BytesLib.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
IBrokerbot,contracts/brokerbot/IBrokerbot.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
BytesDeserializer,contracts/tokenmarketnet/contracts/BytesDeserializer.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
SecondaryMarketFactory,contracts/market/SecondaryMarketFactory.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
IAccessControl,contracts/IAccessControl.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
UncappedCrowdsale,contracts/tokenmarketnet/contracts/UncappedCrowdsale.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
IERC20Permit,contracts/ERC20/IERC20Permit.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
UniswapV2Factory,contracts/uniswap/UniswapV2Factory.sol,Public Benchmark / Curated Source,https://github.com/crytic/not-so-smart-contracts
UniswapV2Migrator,contracts/uniswapv2_periphery/UniswapV2Migrator.sol,Uniswap V2 Periphery,https://github.com/Uniswap/v2-periphery
ErrorReporter,contracts/compound/contracts/ErrorReporter.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
AllowlistShares,contracts/shares/AllowlistShares.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
BonusFinalizeAgent,contracts/tokenmarketnet/contracts/BonusFinalizeAgent.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
ERC20Cancelled,contracts/draggable/ERC20Cancelled.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
